article,experiment,sample,id,pairing,yi,vi,sei,ni,stimuli,condition,gen_difficulty,manip_type,present_style,word_status,memory_test,memory_type,gen_constraint,learning_type,stimuli_relation,gen_mode,gen_task,attention,pacing,filler_task,age_grp,retention_delay
12,1,1,1,1,0.879,0.000684371,0.026160483,12,20,generate,NA,between,pure,words,recognition,item,medium,intentional,semantic,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,2,1,0.713,0.001403919,0.037468903,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,semantic,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,3,2,0.906,0.000579847,0.024080011,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,category,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,4,2,0.684,0.001509474,0.038851945,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,category,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,5,3,0.842,0.000840009,0.028982912,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,antonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,6,3,0.753,0.001237872,0.0351834,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,antonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,7,4,0.893,0.000629087,0.025081608,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,synonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,8,4,0.697,0.001464062,0.038263057,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,synonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,9,5,0.733,0.001323238,0.036376334,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,10,5,0.643,0.001627976,0.040348188,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,NA,no,younger,immediate
12,2,1,11,6,0.838,0.001123505,0.033518731,12,10,generate,NA,within,pure,words,recognition,item,medium,intentional,semantic,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,12,6,0.652,0.002103557,0.04586455,12,10,read,NA,within,pure,words,recognition,item,NA,NA,semantic,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,13,7,0.872,0.000933945,0.030560518,12,10,generate,NA,within,pure,words,recognition,item,high,NA,category,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,14,7,0.665,0.002056253,0.045345927,12,10,read,NA,within,pure,words,recognition,item,NA,NA,category,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,15,8,0.878,0.000901948,0.030032451,12,10,generate,NA,within,pure,words,recognition,item,high,NA,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,16,8,0.699,0.001908686,0.043688506,12,10,read,NA,within,pure,words,recognition,item,NA,NA,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,17,9,0.871,0.000939326,0.030648422,12,10,generate,NA,within,pure,words,recognition,item,high,NA,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,18,9,0.677,0.002007876,0.044809329,12,10,read,NA,within,pure,words,recognition,item,NA,NA,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,19,10,0.741,0.001689593,0.041104661,12,10,generate,NA,within,pure,words,recognition,item,high,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,20,10,0.548,0.002251225,0.047447077,12,10,read,NA,within,pure,words,recognition,item,NA,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,1,21,11,0.521,0.001520901,0.038998726,12,33,generate,NA,within,pure,words,recognition,cue word,high,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,1,22,11,0.492,0.001473094,0.038380911,12,33,read,NA,within,pure,words,recognition,cue word,NA,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,2,23,12,0.711,0.001269138,0.03562497,12,33,generate,NA,within,pure,words,recognition,item,high,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,2,24,12,0.533,0.001534039,0.039166814,12,33,read,NA,within,pure,words,recognition,item,NA,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
13,1,1,25,13,0.354,0.001468008,0.038314596,20,8,generate,NA,within,pure,words,free recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,1,1,26,13,0.151,0.000446315,0.021126157,20,8,read,NA,within,pure,words,free recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,1,1,27,14,0.361,0.001508593,0.038840615,20,8,generate,NA,within,pure,words,free recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,1,1,28,14,0.21,0.000683171,0.026137539,20,8,read,NA,within,pure,words,free recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,2,1,29,15,0.302,0.000830958,0.028826335,20,16,generate,NA,between,pure,words,free recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,2,2,30,15,0.162,0.000346409,0.01861207,20,16,read,NA,between,pure,words,free recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,2,1,31,16,0.368,0.001104954,0.033240842,20,16,generate,NA,between,pure,words,free recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,2,2,32,16,0.287,0.00077002,0.027749236,20,16,read,NA,between,pure,words,free recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,3a,1,33,17,0.861,0.000982008,0.031337014,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,3a,1,34,17,0.512,0.002172154,0.046606376,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
